Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Are you observing a Teaching Fellow or a Partner Teacher?,Which cohort is this Fellow a member of?,Which cohort is this Partner Teacher a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please select the Cohort 5 Partner Teacher ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
128,3/11/2017 9:52,3/11/2017 9:55,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489243957_58c40f3548fb72.64592501,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,173.52.214.129,-73.83149719,41.18790054,United States,Ossining,NY,10562,1816,Teaching Fellow,Cohort 27,,50000,,x144,,,,,,,,,8,,,,,,,,,N/A,Math,3/6/2017,Effective,Effective,Effective,,Developing+,Effective,Developing+,,Developing+,Effective,Effective+,,Effective+,Mr. Lopes is a highly reflective practitioner who is eager to improve his craft.,Average,
129,3/12/2017 7:57,3/12/2017 8:00,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489319846_58c537a6eda820.86369381,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4",,69.201.164.197,-73.99240112,40.75529861,United States,New York,NY,10018,250,Teaching Fellow,Cohort 27,,51060,,M260,,,,,,,,,,9,,,,CTT/ICT,,,,,Special Education,3/7/2017,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Effective,Sasha does an excellent job engaging all students in the lesson's content.,Effective,,Above Average,
130,3/12/2017 12:21,3/12/2017 12:25,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489335703_58c57597a12b04.87598457,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDCJS; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDCJS; rv:11.0) like Gecko,,69.116.191.201,-74.01429749,40.78789902,United States,West New York,NJ,7093,1110,Teaching Fellow,Cohort 27,,50249,,q238,,,,,,,,,8,,,,,,Self-contained,,,,Special Education,3/8/2017,Developing+,Developing+,Developing+,,Developing+,Developing+,Effective,,Developing+,Developing+,Developing+,,Effective,,Average,
131,3/12/2017 12:25,3/12/2017 12:28,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489335923_58c57673af5b37.74143357,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDCJS; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDCJS; rv:11.0) like Gecko,,69.116.191.201,-74.01429749,40.78789902,United States,West New York,NJ,7093,1110,Teaching Fellow,Cohort 27,,50556,,q319,,,,,,,,,8,,,,,,,,,N/A,Math,3/1/2017,Effective,Developing+,Developing+,,Effective,Developing+,Developing+,,Developing+,Developing+,Effective,,Effective,,Average,
133,3/12/2017 19:55,3/12/2017 19:56,Partial,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489362934_58c5dff6dc25c4.60181407,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,68.195.106.145,-73.60820007,40.65390015,United States,Baldwin,NY,11510,1953,Teaching Fellow,Cohort 27,,50234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,3/12/2017 20:29,3/12/2017 21:07,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489364927_58c5e7bfcc4a03.84861283,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,68.195.106.145,-73.60820007,40.65390015,United States,Baldwin,NY,11510,1953,Teaching Fellow,Cohort 27,,50234,,M630,,,,,,,,,,,,,12,,Self-contained,,,,Special Education,3/8/2017,Effective,Developing+,Developing+,The teacher based the lesson on Common Core ELA Standards and highlighted prerequisite relationships in order to facilitate the making of connections.  A variety of pedagogical approaches were utilized in order to provide options and promote student participation reflecting a Universal Design for Learning Philosophy.  Further work is needed in differentiating instruction to meet the individualized needs of students.,Effective,Effective,Effective,Students in engaged in collaborative discussions in a respectful manner.  Clear expectations were in place and students followed established routines. Rubrics were provided to guide students in putting forth optimal efforts in completing assignments.,Effective,Developing+,Developing+,"Challenging activities were in place which asked students to access and demonstrate such DOK Level Three skills as citing evidence, drawing conclusions, developing logical arguments and formulating questions.  Students engaged in debates where they were required to justify their thinking.  Fine tuning is required in structuring and scaffolding lessons to enhance acquisition of essential skills.  Although students are aware of assessment criteria, more targeted, consistent feedback is needed to move students to the next level.",Developing+,"The teacher is receptive to suggestions from colleagues, supervisors and consultants.  Although she is able to make general suggestions on improving/enhancing lessons,  hands-on guidance on identifying specific adjustments to meet the needs of students is required.",Average,
135,3/12/2017 20:46,3/12/2017 20:50,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489365964_58c5ebccce1747.17992042,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,69.204.229.105,-73.79389954,40.71480179,United States,Jamaica,NY,11432,205,Teaching Fellow,Cohort 27,,50487,,x564,,,,,,,,,,9,,,,,,,,,Math,1/18/2017,Developing+,Developing+,Developing,,Effective,Effective,Developing+,,Developing+,Effective,Effective,,Developing+,,Average,
136,3/12/2017 20:51,3/12/2017 20:57,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489366257_58c5ecf163daf0.77088089,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,69.204.229.105,-73.79389954,40.71480179,United States,Jamaica,NY,11432,205,Teaching Fellow,Cohort 27,,50703,,x323,,,,,,,6,,,,,,,CTT/ICT,,,,,Special Education,3/8/2017,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,,Average,
137,3/12/2017 20:58,3/12/2017 21:56,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489366682_58c5ee9ac09f73.30384388,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,69.204.229.105,-73.79389954,40.71480179,United States,Jamaica,NY,11432,205,Partner Teacher,,Cohort 5,,TCR189,x505,,,,,,,,7,,,,,,CTT/ICT,,,,,Special Education,3/8/2017,Effective,Effective,Effective,Teacher is co teacher along with science teacher who makes up lesson plans.   Fellow follows this class throughout the day into all subject areas.,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,,Average,
138,3/13/2017 9:04,3/13/2017 9:12,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489410279_58c698e748ee79.10977266,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",,69.201.164.197,-73.99240112,40.75529861,United States,New York,NY,10018,250,Teaching Fellow,Cohort 27,,50388,,M533,,,,,,,,,,9,,,,CTT/ICT,,,,,Special Education,3/9/2017,Developing+,Developing+,Developing+,Coral is working with her co teacher to differentiate instruction,Developing+,Developing+,Developing+,Coral is working on a classroom management plan including creating and implementing group roles for group work,Developing+,Developing+,Developing+,Coral is working on using higher level questioning to check for understanding,Developing+,,Above Average,
139,3/13/2017 12:34,3/13/2017 12:38,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489422841_58c6c9f96bc162.72609646,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,69.204.229.105,-73.79389954,40.71480179,United States,Jamaica,NY,11432,205,Teaching Fellow,Cohort 27,,50066,,x337,,,,,,,,,8,,,,,CTT/ICT,,,,,Math,3/1/2017,Effective,Effective+,Effective+,,Effective+,Effective+,Effective+,,Effective+,Effective+,Effective+,,Effective+,,Above Average,
140,3/13/2017 12:39,3/13/2017 12:44,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489423139_58c6cb23ab1900.92269759,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,69.204.229.105,-73.79389954,40.71480179,United States,Jamaica,NY,11432,205,Teaching Fellow,Cohort 27,,50248,,x562,,,,,,,,7,,,,,,CTT/ICT,,,,,Math,3/1/2017,Effective+,Effective,Effective+,,Effective,Effective,Effective+,,Developing+,Effective,Effective,,Developing+,,Average,
141,3/13/2017 17:02,3/13/2017 17:46,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489438973_58c708fd7e6601.72666860,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,68.195.106.145,-73.60820007,40.65390015,United States,Baldwin,NY,11510,1953,Teaching Fellow,Cohort 27,,50239,,M933,,,,,,,,7,,,,,,,,,,N/A,Math,3/2/2017,Effective,Developing+,Developing+,The lesson was based upon Common Core Standards and prerequisite relationships were considered as students were advised to refer to classroom charts and notes from previous lessons to facilitate their making connections with current material. Concepts and procedures were presented clearly and sequentially. Further work is required in differentiating assignments in regard to scope and level of difficulty to meet individual needs.,Effective+,Effective+,Effective,The classroom was highly structure and expectations were clear.  Cues and signals were in place to ensure that students remain on task.  Teacher to students and peer to peer interactions were supportive and respectful.  The teacher addressed all inquiries and highlighted the exceptional efforts of students.,Effective,Effective,Developing+,"The majority of students were actively engaged in the lesson and good overall student participation was noted.  Activities were challenging as students were asked to categorize, logically interpret information, organize, identify patterns and summarize information.  In addition, students were responsible for justifying their responses. Guided questions were posed by the teacher in order to promote acquisition of the aforementioned critical thinking skills. Although exit slips were distributed, it was recommended that differentiated assessments be incorporated into the daily routine.",Effective,The teacher was able to accurately analyze the effectiveness of the lesson and made several specific suggestions on how to make adjustments to meet the needs of all students.,Above Average,
144,3/13/2017 17:54,3/13/2017 18:54,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489442071_58c715178998a5.20407479,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,68.195.106.145,-73.60820007,40.65390015,United States,Baldwin,NY,11510,1953,Teaching Fellow,Cohort 27,,50297,,M400,,,,,,,,,,,,11,,CTT/ICT,,,,,Special Education,3/1/2017,Effective,Developing+,Developing+,"The lesson was based upon Common Core ELA Standards.  A variety of pedagogical approaches were incorporated as students developed and refined their research papers. For example, students were engaged in annotating, outlining and properly citing sources. The tasks could have been further differentiated in terms of scope and number of components for lower performing students.",Effective,Effective,Effective,Routines and expectations were clearly defined.  Activities were timed in order to promote time on task.  Teacher to student and peer to peer interactions were respectful and students supported one another to complete assignments.,Effective,Effective+,Developing+,"Activities were challenging as students were required to create thesis statements and collect, categorize, compare information, draw conclusions and investigate in order to support their chosen topics. Templates and targeted questions were provided as students conducted research in the library prior to the current lesson.  Although exit slips were distributed, more targeted feedback in regard to standards based rubrics is recommended.",Developing+,The teacher is receptive to feedback and was able to provide some suggestions on making adjustments and accommodations to enhance the lesson. It is suggested that the teacher explore further developing the partnership with her co-teacher in order to better serve the needs of all students.,Average,
146,3/13/2017 19:04,3/13/2017 19:07,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489446280_58c725883982b7.73858655,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,104.162.172.208,-73.8423996,40.72290039,United States,Forest Hills,NY,11375,1830,Teaching Fellow,Cohort 27,,50136,,x478,,,,,,,,,,9,10,11,12,CTT/ICT,,,,,Special Education,12/20/2016,Effective+,Effective,Effective+,,Effective,Effective+,Highly Effective,,Effective,Effective,Effective,,Highly Effective,,Above Average,
147,3/13/2017 19:56,3/13/2017 20:44,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489449358_58c7318ee7adf0.73939258,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,68.195.106.145,-73.60820007,40.65390015,United States,Baldwin,NY,11510,1953,Teaching Fellow,Cohort 27,,50279,,M400,,,,,,,,,,9,,,,CTT/ICT,,,,,Math,3/1/2017,Effective,Developing+,Developing+,The lesson was aligned to a Common Core Standard and a review of previously taught concepts was conducted before introduction of new material.  Further attention is required in tailoring and differentiating lessons to meet the diverse learning styles and needs of students.,Effective,Effective,Developing+,Routines have been established and the teacher responded in a consistent manner to disruptive behavior. The incorporation of a consistent system of rewards and incentives should be considered.,Developing+,Effective,Developing+,"Learning tasks were designed to challenge student thinking.  Students were responsible for explaining procedures and for justifying their thinking.  Therefore, they were required to compare and assess information and develop logical arguments. Scaffolding was in place through modeling, guided questions, templates and procedures embedded on worksheets.  Incorporation of such ICT models as Station and Parallel Teaching are recommended to individualize instruction and promote more interactive discussions. Structured share-out sessions and differentiated assessments are needed to inform students' readiness to advance to the next topic.",Developing+,"The teacher is receptive to feedback from colleagues and supervisors.  In addition, she is able to identify some specific areas where adjustments could be made in the planning and delivery of instruction. Implementation of appropriate ICT models will facilitate meeting the needs of all students.",Average,
148,3/13/2017 20:11,3/13/2017 20:24,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489450283_58c7352b6f1f17.42204503,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.3","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,108.29.10.135,-73.7881012,40.72800064,United States,Fresh Meadows,NY,11366,1717,Teaching Fellow,Cohort 27,,51125,,15K051,,,,,,,,7,,,,,,,Self-contained,,,,Special Education,1/12/2017,Developing+,Developing,Developing,the lesson has a stucture but very little differentiation.,Effective,Developing+,Effective,Pacing of the lesson and activities is being developed.,Developing,Developing,Developing+,Lessons are basically teacher directed. Regular assessments are given to monitor student progress.,Developing,Teacher makes general suggestions about how a lesson could be improved.,Average,
149,3/13/2017 20:25,3/13/2017 20:35,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489451144_58c7388897af31.67327110,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.3","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,108.29.10.135,-73.7881012,40.72800064,United States,Fresh Meadows,NY,11366,1717,Teaching Fellow,Cohort 27,,50761,,30Q445,,,,,,,,,,,10,,,CTT/ICT,,,,,Math,2/17/2017,Developing+,Developing+,Developing,The teacher is aware of the important concepts but there is little differentiation for different students.,Effective,Developing+,Effective,Classroom interactions promote student lerning.,Developing,Developing+,Developing+,Tasks are aligned to instructional outcomes. Most questioning is teacher led.,Developing+,"The teacher makes an accurate assessment of the lesson's effectiveness and can make general suggestions for improvement,",Above Average,
150,3/13/2017 20:36,3/13/2017 20:46,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489451771_58c73afb1584c7.95100816,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.3","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,108.29.10.135,-73.7881012,40.72800064,United States,Fresh Meadows,NY,11366,1717,Teaching Fellow,Cohort 27,,50422,,29Q238,,,,,,,,,8,,,,,CTT/ICT,,,,,Special Education,2/2/2017,Effective,Developing+,Developing+,The teacher displays a solid knowledge of the important concepts to be taught.  There is a recognizable structure to the lesson.  Pacing of the lesson is improving.,Effective,Effective,Effective,The teacher has high expectations for all students.  Student behavior is monitored against established standards of conduct.,Developing+,Developing+,Developing+,Regular assessments are used to monitor student learning.  The teacher encourages student to student discussion.,Developing+,"The teacher makes an accurate assessment of the lesson's effectiveness and can make general suggestions for improvement,",Above Average,
151,3/13/2017 20:47,3/13/2017 20:59,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489452426_58c73d8adf0c46.35589753,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.3","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,108.29.10.135,-73.7881012,40.72800064,United States,Fresh Meadows,NY,11366,1717,Teaching Fellow,Cohort 27,,50396,,30Q141,,,,,,,,,8,,,,,,,,,N/A,Math,1/27/2017,Developing+,Developing,Developing+,The activities represent a moderate cognitive challenge.  The teacher displays a solid knowledge of the concepts in the discipline.,Effective,Developing+,Effective,Student behavior is generally appropriate. Rituals and routines have been established.,Developing+,Developing+,Developing+,Assessment is regularly used to monitor student learning.  The pacing of the lesson is appropriate.,Developing+,"The teacher makes an accurate assessment of the lesson's effectiveness and can make general suggestions for improvement,",Above Average,
152,3/13/2017 21:02,3/13/2017 21:14,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489453335_58c74117caf951.52126339,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.3","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,108.29.10.135,-73.7881012,40.72800064,United States,Fresh Meadows,NY,11366,1717,Teaching Fellow,Cohort 27,,50011,,30Q445,,,,,,,,,,,10,,,CTT/ICT,,,,,Special Education,2/17/2017,Developing,Developing,Developing+,Learning activities are differentiated for different student groups.,Developing+,Developing+,Developing+,Rituals and routines have been established contributing to little loss of instructional time.,Developing,Developing,Developing+,The teacher basically uses low-level questioning with little discussion among students.,Developing,The teacher has a generally accurate impression of the lesson's effectiveness and is able to make general suggestions for its improvement.,Average,
153,3/13/2017 21:14,3/13/2017 21:21,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489454053_58c743e5830326.77655325,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.3","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,108.29.10.135,-73.7881012,40.72800064,United States,Fresh Meadows,NY,11366,1717,Teaching Fellow,Cohort 27,,50238,,24Q061,,,,,,,,7,,,,,,,Self-contained,,,,Special Education,2/16/2017,Developing+,Developing,Developing+,The learning activities are differentiated for different groups.,Developing+,Developing+,Developing+,Established rituals and routines are in place.  The teacher has high expectations for all students.  Students are recognized for effort.,Developing,Developing+,Developing+,Assessment is regularly used to monitor student learning.  The pacing of the lesson is appropriate.,Developing+,The teacher is open to suggestions made to improve the outcome of the lesson.,Average,
156,3/14/2017 15:22,3/14/2017 15:47,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1489519323_58c842db6f5ab9.11014280,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0,,100.38.89.98,-73.93389893,40.64849854,United States,Brooklyn,NY,11203,1801,Teaching Fellow,Cohort 27,,50617,,k228,,,,,,,6,,,,,,,,,,,,Math,2/15/2017,Developing,Developing,Developing,"The teacher's plan needs to: 1a:  Reflect familiarity with a wide range of effective pedagogical approaches in the discipline. 1c:  Suggest viable methods of assessment and reflect several different types of learning and opportunities for coordination, taking into account the varying needs of groups of students. 1e:  Ensure that the learning activities have reasonable time allocations, with some differentiation for different groups of students.",Developing,Developing,Developing,"Teacher needs to: 2b:  Explicitly conveys that with hard work students can be successful so that students understand their role as learners and consistently expend effort to learn. 	               2c:  Ensure that there is little loss of instructional time due to effective classroom routines and procedures. The teacher's management of instructional groups and/or the handling of materials and supplies are consistently successful. With minimal guidance and prompting, students follow established classroom routines.		            2d:  Subtly monitor student behavior against established standards of conduct.",Developing,Developing,Developing,"Teacher needs to: 3b:  Use a mixture of low-level questions for showing understanding and high-level ones for promoting student thinking and understanding as well as to create a genuine discussion among students, providing adequate time for students to respond, and stepping aside when appropriate.  3c:  Ensure that the pacing of the lesson is appropriate, providing most students the time needed to be intellectually engaged. 3d:  Develop a system for monitoring progress of learning and for making students aware of the assessment criteria.",Developing,Teacher needs to create a system for assessing the results of the activities so as to determine their effectiveness in achieving the desired outcomes.,Average,
