response_id,date_submitted,status,please_select_your_field_consultant_id,which_cohort_is_this_fellow_a_member_of,fellow_id,please_enter_the_school_dbn_as_a_letter_and_3_digit_number_e_g_x232_or_k021,k_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x1_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x2_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x3_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x4_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x5_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x6_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x7_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x8_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x9_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x10_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x11_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x12_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,ctt_ict_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,self_contained_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,setts_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,d75_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,n_a_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,what_is_the_fellow_s_assigned_university_subject_area_please_select_the_subject_they_are_training_in_at_their_university_not_the_subject_they_are_teaching_during_this_observation,what_was_the_date_of_this_observation,x1a_please_record_your_observation_rating_for_component_1a_demonstrating_knowledge_of_content_and_pedagogy,x1c_please_record_your_observation_rating_for_component_1c_setting_instructional_outcomes,x1e_please_record_your_observation_rating_for_component_1e_designing_coherent_instruction,comments_for_domain_1,x2b_please_record_your_observation_rating_for_component_2b_establishing_a_culture_for_learning,x2c_please_record_your_observation_rating_for_component_2c_managing_classroom_procedures,x2d_please_record_your_observation_rating_for_component_2d_managing_student_behavior,comments_for_domain_2,x3b_please_record_your_observation_rating_for_component_3b_using_questioning_and_discussion_techniques,x3c_please_record_your_observation_rating_for_component_3c_engaging_students_in_learning,x3d_please_record_your_observation_rating_for_component_3d_using_assessment_in_instruction,comments_for_domain_3,x4a_please_record_your_observation_rating_for_component_4a_reflecting_on_teaching,comments_for_domain_4,how_effective_do_you_believe_this_fellow_is_compared_to_other_teachers_with_similar_experience_eg_first_year_fellows_compared_to_other_first_year_teachers,university,school_code,tt2id
173,3/16/2017 10:45,Complete,1794,Cohort 28,51266,02M529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,Special Education,3/15/2017,Developing,Developing,Developing,"Ms. Belgrade is teaching ICT Math, a subject area that is not her speciality, and is making a very good effort to master math concepts so that she can work well with her students.  She does not yet have the far-reaching understanding of math or teaching math that will allow her to create well-scaffolded units of study; she is also greatly limited by her co-teachers unwillingness to plan together and to design true co-teaching experiences that will increase learning outcomes for Ms. Belgrade's roster and for all the students in the class.",Developing,Developing,Developing,"Here again Ms. Belgrade is deeply limited by the co-teaching set-up.  She has many ideas for engaging students and setting up the classroom to have a more effective learning culture and environment, but she is somewhat powerless to make any decisions.  As such, the environment of the classroom was extremely unconducive to learning.  There is almost no culture of learning there, very few students showed respect to the teacher or to each other, and at any given moment only ¼ of the class was even trying to learn.  Most students were talking, playing on their phones or being disruptive in other ways for most of the lesson, with the exception of about ten minutes when most of the students were focused and copying the notes, if not actually understanding the problem on which they were working.",Ineffective,Developing,Developing,"Again, Ms. Belgrade seems to have a lot of potential and good ideas for discussion, student engagement and questioning but she has almost no opportunity for putting them into practice.  She did lead the lesson for fifteen minutes, and the rest of the time she focused on providing individual help, which was very effective for students who received it.  Her questioning techniques are at the developing level but against the chaos of this classroom, she seems to be trying to ask questions  that will engage students and get them to think more deeply.",Developing+,"Quamina is very reflective of her practice and planning and open to suggestions and to trying ideas.  I saw some improvements since my first visit, and I can see that she is trying very hard to break through a very bad school culture and make a difference for her students.  Her potential is certainly being quashed at this school, and her principal is not even following the UFT teacher contract in designing her schedule, so I am very concerned about burn-out for her.",Average,City,02M529,0be8c3e6-203e-49dd-80d4-a57c00fa17c2
188,3/17/2017 9:49,Complete,1803,Cohort 28,51232,X091,K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESL,03/10/0017,Developing+,Developing+,Developing+,NA,Developing+,N/A,Developing+,NA,Developing+,Developing+,Developing+,NA,Developing+,NA,Average,City,10X091,975471ee-46bb-4c2f-ba0d-a5fe00e261e6
192,3/17/2017 13:22,Complete,1789,Cohort 28,51281,X225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/3/2017,Developing+,Developing+,Developing+,NA,Developing+,Developing+,Developing+,NA,Developing+,Developing+,Developing+,NA,Developing,NA,Average,City,10X225,2257a1b5-0425-41b5-a0fb-a5a30055cbe3
194,3/17/2017 13:41,Complete,1789,Cohort 28,51264,X551,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/6/2017,Developing,Developing,Developing,NA,Developing,Developing,Developing,NA,Developing,Developing,Developing,NA,Developing,NA,Average,City,07X551,7b52d4bb-bb05-436f-accf-a59800a3e6e5
197,3/17/2017 14:39,Complete,1822,Cohort 28,51283,25Q05,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,ESL,3/16/2017,Developing,Developing,Developing,Teacher's plans and practice indicate some awareness of prerequisite relationships. Most of the outcomes are suitable for most of the students in the class. The lesson or unit has a recognizable structure.,Developing,Developing,Developing,"With regular guidance and prompting, students follow established routines.Standards of conduct appear to have been established.",Developing,Developing,Developing,Teacher attempts to engage all students in the discussion and to encourage them to respond to one another. The learning tasks are partially aligned with the instructional outcomes. Questions/prompts/assessments are sometimes used to diagnose evidence of learning.,Developing,Teacher has a generally accurate impression of a lesson's effectiveness and the extent to which instructional outcomes were met.,Average,City,24Q005,8a09e5d8-96a1-48d7-bff8-a5b500da92a8
207,3/17/2017 17:13,Complete,1929,Cohort 28,51248,5M148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,CTT/ICT,NA,NA,NA,NA,ESL,3/6/2017,Developing,Developing,Developing,"Teacher's plans and practice reflect a limited range of pedagogical approaches to the discipline or to the students.Most of the outcomes are suitable for most of the students in the class based on global assessments of student learning.The lesson or unit has a recognizable structure; the progression of activities is uneven, with most time allocations reasonable.",Developing,Developing,Developing,"With regular guidance and prompting, students follow established routines. Standards of conduct appear to have been established.",Developing,Developing,Developing,"Assessment is used sporadically to support instruction, through some monitoring of progress of learning by teacher and/or students. Teacher attempts to engage all students in the discussion and to encourage them to respond to one another, with uneven results.",Developing,Teacher has a generally accurate impression of a lesson's effectiveness and the extent to which instructional outcomes were met.,Average,City,05M148,d011318b-68f4-468f-be51-a24101028cdb
224,3/17/2017 20:36,Complete,1789,Cohort 28,51295,X525,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,2/7/2017,Developing,Developing,Developing,NA,Developing,Developing,Developing,NA,Developing,Developing,Developing,NA,Developing,NA,Average,City,09X525,63d424ae-8882-48fd-a78f-a57b00fc38ad
225,3/17/2017 20:39,Complete,1789,Cohort 28,51286,M097,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,NA,NA,NA,D75,NA,Special Education - D75,3/7/2017,Developing,Developing,Developing+,NA,Developing+,Developing+,Developing+,NA,Developing,Developing+,Developing,NA,Developing,NA,Average,City,97M079,d26ed919-280f-497e-b7da-a41001424066
226,3/17/2017 20:41,Complete,1789,Cohort 28,51265,X176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,D75,NA,Special Education - D75,2/6/2017,Developing,Developing,Developing,NA,Developing,Developing,Developing,NA,Developing,Developing,Developing,NA,Developing,NA,Average,City,13K113,07642304-df7e-4d7a-a21a-a56d0115d4d5
227,3/17/2017 20:43,Complete,1789,Cohort 28,51269,X231,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,2/8/2017,Developing,Developing,Developing,NA,Developing,Developing,Developing,NA,Developing,Developing,Developing,NA,Developing,NA,Average,City,09X231,3f9a2e78-6e01-43af-9249-a5b600a01420
228,3/17/2017 20:47,Complete,1789,Cohort 28,51277,X525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/8/2017,Developing+,Developing+,Developing+,NA,Developing+,Developing+,Effective,NA,Developing+,Developing+,Developing+,NA,Developing,NA,Average,City,09X525,89944cae-fa2e-47fe-a8bd-a5bd00f2f710
237,3/20/2017 1:15,Complete,1794,Cohort 28,51289,M393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,ESL,2/14/2017,Developing,Developing,Developing,"Ms. Ruiz understood the math concepts she was teaching very well.  She was not yet able to predict where and how students would struggle with those concepts.  For example, she did not realize that most students did not understand the term ""bisect"" or what the intersection of the diagonals looked like as far as being perpendicular.  So she taught this concept quickly without realizing that could not apply the rule because they didn't understand the terms fully.  The lesson had some practice and discussion of the practice but the rest of the lesson involved students working alone on a worksheet.  They were told they could work together ""after a little while,"" but there was no structure for that cooperative learning.  There was little time for sharing answers or process and no closure beyond a basic exit ticket.",Developing,Developing+,Developing+,"Ms. Ruiz had few discipline problems.  She was respectful of her students and demanded focus and respect.  But she had only six students in the classroom, and there was not a high level of engagement.  Her students were motivated to learn math, and they focused for much of the lesson for that reason only.  But there was not a lot of intrinsic engagement in the lesson structure; and with a larger group of students, that lack of engagement would become problems in discipline.",Developing,Developing,Developing,"Ms. Ruiz had some procedures in place for assessment at the beginning and end of the lesson, including a Do Now and an exit ticket, as well as homework and a worksheet.  These allowed her to assess when she was going over papers.  She did not create many opportunities for students to engage in the material through discussion, questions, explanations, etc., and as such I did not observe a lot of assessment opportunities during the lesson.  She did ask questions during the mini-lesson but these did not require higher order critical thinking for the most part.",Developing+,Ms. Ruiz is eager to learn techniques that will help her increase student engagement and learning outcomes.  She is beginning to learn skills that will help her self-assess but she is open to suggestions and eager to grow.,Average,City,02M393,d02925ac-aacf-4077-a496-a5b400a156f4
238,3/20/2017 1:28,Complete,1794,Cohort 28,51276,M299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,2/13/2017,Developing,Developing,Developing,Mr. Fisher-Smith co-taught this math lesson.  His co-teacher was not hostile to his participation in planning and execution but nor was she open to a true co-teaching relationship.  Mr. Fisher-Smith was aware of some but not all the needs of the students on his roster; but had not created many modifcations for them or  for other students who might need his help.  He circulated throughout the lesson and was able to adjust his questions and mode of assistance based on what he knew each student needed.  But I did not observe planning or execution that seemed to really address individual students' IEP's or the students who were in general ed.,Developing+,Developing+,Developing+,"Mr. Fisher-Smith and his co-teacher had some strong classroom procedures in place, including using popsicle sticks with numbers on them to ensure that students participated even when not called upon.  Students were for the most part focused and wanted to complete the worksheet.  And when students went to the board to do a problem, the other students were used to discussing each step and deciding when the work was correct and when it was not.  But there was not a sense of a learning culture where students took active responsibility for learning.  Other than the moments when students went to the board to do problems and other students commented, the work was largely just students going one by one through a worksheet.  Students used calculators even for the simplest of operations.",Developing,Developing,Developing,"Mr. Fisher-Smith was more of an assistant during the lesson, so I was not able to observe a lot of questioning as a tool for assessment.  But in his one-on-one work with students, he did ask questions to guide students to solve problems and to think through each step.   Students were engaged more because they wanted to learn the math than because the work provided was designed to engage them.  There were few structured opportunities for positive interdependence, and even the use of numbers on sticks instead of names contributed to a feeling that this was many students learning math at the same time, rather than a community of learners coming together for a common goal.",Developing+,"Mr. Fisher-Smith is very open to suggestions and eager to learn techniques, skills, etc.  He is reflective of his practice, though at an early stage of being able to assess a lesson's structure.  He is at an early stage also of being able to understand how he can co-plan to ensure that his roster of students is being served according to their IEP's.",Average,City,03M299,010df90f-33bf-4f71-9aec-a5c401704fcf
239,3/20/2017 1:45,Complete,1794,Cohort 28,51259,M489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,Special Education,3/1/2017,Developing,Developing,Developing,"Ms. Smith's designed a template for students to use in undertaking the first stages of research on topics they had picked either in Global Studies or just as a general topic of interest.  The connection to the Global class was unclear; Ms. Smith did not actually know if students could use their work in her class for Global Studies, or how deeply connected her class had to be. This seemed to be more a result of poor support from her department, as Ms. Smith was very eager to find a solution and to create meaningful lessons.  The lesson structure itself did not make use of positive interdependence or clearly define how much students had to accomplish during the period, or how they would be assessed.  The connection to homework or the next day's lesson was unclear; but students did understand that this was a step in a unit that would lead to a research paper.",Developing,Developing,Developing,"Ms. Smith is very overwhelmed by the school culture and uncertain of how to establish a real classroom community.  Students were unfocused and unengaged, and Ms. Smith felt overwhelmed by too many preps and teaching assignments in content areas in which she felt weak.  Her frustration was evident in the classroom and exacerbated issues of management and weak classroom community connections.  We discussed ways for her to work with students to define student responsibility and to make them active participants in learning.",Developing,Developing,Developing,"Ms. Smith created a worksheet for students to help them focus their research but there was no differentiation for varying skills and needs.  All students had the same work no matter their topic or IEP.  There was some engagement as some students were able to pick topics, but others had been assigned topics and most did not know how to undertake research in a meaningful way. Many students were distracted or unfocused, and Ms. Smith spent a lot of the class asking them to focus without seeing that the lesson didn't offer them enough structure or high-interest content.",Developing+,"Ms. Smith was very open to suggestions and was in fact desperate for them.  Her school supervisor has not been supportive and she feels very lost and overwhelmed.  She was able to see many of the issues with the outcome of the lesson but was not yet able to understand what was causing poor outcomes.  We discussed strategies and I encouraged her to develop her own teaching voice and meet the students where they are, while giving them the chance to create the rules, consequences and rewards for the learning community.",Average,City,02M489,00bdac17-a61d-4e81-9766-a4a700b84994
245,3/22/2017 13:51,Complete,1782,Cohort 28,51241,K281,NA,NA,NA,NA,NA,NA,6,7,8,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,ESL,3/22/2017,Effective,Effective,Effective,"Anna she a great job of connecting the senses, something students find accessible, in a fun and engaging way to the reading. This supported student reading comprehension and made the content less intimidating for students grappling with learning a English.",Developing+,Developing+,Developing+,Ana rotates the room to make herself accessible to students but seems hesitant to address misbehaviors directly. We can support in strengthening identification of transitions in the classroom and structuring them for,Developing+,Effective,Developing+,Ana's lesson was engaging. She should plan backwards from ideal student responses and have scaffolded questions if she feels students aren't understanding the material.,Effective+,Ana seeks feedback and reflects upon her practice.,Average,City,21K281,5d0b86d0-2e72-44dd-9a1b-a58100c4aaed
251,3/23/2017 16:03,Complete,1856,Cohort 28,51267,05x369,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,Special Education,3/23/2017,Developing+,Developing,Developing,NA,Developing+,Developing+,Developing+,NA,Developing+,Developing+,Developing,NA,Effective,NA,Average,City,05M369,262aa0cb-a4b1-4db6-9ad4-a58900e17606
252,3/23/2017 16:08,Complete,1856,Cohort 28,51294,05x369,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,NA,NA,NA,NA,NA,NA,NA,Special Education,3/23/2017,Developing+,Developing+,Developing,NA,Developing+,Developing+,Developing+,NA,Developing,Developing+,Developing,NA,Effective,NA,Average,City,05M369,a6c83a59-ce56-4a10-96e1-a5700169fa24
103,3/13/2017 14:35,Complete,2083,Cohort 28,51308,M092,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,02/03/0017,Effective,Effective,Effective,the fellow has been able to separate herself from the classroom teacher and plan well for her students,Effective,Effective,Effective,the fellow has instituted wonderful guidelines and modeling for her students,Developing+,Effective,Developing,she is working on formative assessment as well as feedback for her students,Developing+,still a work in progress,Average,BC,05M092,d9919f62-fa07-43a2-8353-a5a800ce9548
105,3/13/2017 14:50,Complete,2083,Cohort 28,51309,M50,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,03/10/0017,Effective,Effective,Effective,"the fellow is looking for ways to co-plan, there are still factors that don't let it occur. However, we had time to get materials to use for the curriculum",Effective,Effective,Effective,the fellow works well with his students,Developing+,Effective,Developing+,the fellow is working on formative assessment and sharing with his students,Effective,he is constantly reflecting on how to improve his lessons,Average,BC,04M050,fdca5cfe-0760-4d5a-bdd5-a15d012d6591
106,3/13/2017 15:41,Complete,2083,Cohort 28,51323,X132,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,02/07/0017,Effective,Effective,Effective,the fellow has reorganized the classroom which he has taken over and made it a welcoming place for his students and has begun to design clear lessons,Effective,Developing+,Effective,he has begun to share his expectations of good behavior with his students,Developing+,Developing+,Developing+,he is aware of his limitations and has expressed his desire to learn new techniques and strategies,Developing+,has begun to self analyze his lessons,Average,BC,09X132,51fc415d-ae40-431d-b6e2-a53301495c59
107,3/13/2017 15:50,Complete,2083,Cohort 28,51326,X132,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,02/07/0017,Developing+,Developing+,Developing+,"the fellow is looking for ways to co-plan, there are still factors that don't let it occur. However, we had time to get materials to use for the curriculum",Effective,Developing+,Developing+,"the fellow works well with her students, however, she has some roadblocks to get over in the classroom",N/A,Developing+,Developing+,the fellow is working on formative assessment and sharing with his students,Developing+,"the fellow has not had the opportunity, as yet, to teach a lesson",Average,BC,09X035,3d678217-852c-42a5-9a4d-a5a700fde3c3
109,3/13/2017 16:26,Complete,2083,Cohort 28,51315,Q358,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,2/17/2017,Developing+,Developing+,Developing+,"The fellow has to find the time to co-plan with 4 teachers, some are available",Developing+,Developing+,Developing+,"She is trying to incorporate her teaching with the others, she is supportive to her students",Developing+,Developing+,Developing+,She has shared feedback with some of her students,Developing+,We had time to assess some of her lessons,Average,BC,28Q358,b9550676-6e69-4eed-b140-a5830031b8ee
110,3/13/2017 16:33,Complete,2083,Cohort 28,51304,Q273,K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,2/8/2017,Developing+,Developing+,Developing+,"The fellow is trying to coordinate her lessons to the IEP's, but needs to get to see them",Developing+,Developing+,Developing+,"She is trying to establish herself as a teacher to her students, newly placed and not given enough responsiblity",Developing+,Developing+,Developing+,Still trying to find a way to work individually with her students,Developing,"As a newly placed teacher, she has not had the opportunity to assess all",Average,BC,27Q273,b6878e5b-41a4-450c-898c-a436016c8351
111,3/13/2017 16:39,Complete,2083,Cohort 28,51328,Q237,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,CTT/ICT,Self-contained,NA,NA,NA,Special Education,2/28/2017,Developing+,Developing+,Developing+,The fellow is newly assigned to many ITC positions and 2 self-contained - has been working very hard to develop lessons for the varied classes,Developing+,Developing+,Developing+,She is beginning to establish herself and develop student behavior,Developing+,Developing+,Developing+,She has begun to share some of her assessments with her students when able to assess her own work,Effective,She accurately assesses her lessons and is constantly looking to improve,Average,BC,25Q237,44693e06-1633-4edb-8865-a5ae0022295d
121,3/14/2017 11:43,Complete,2086,Cohort 28,51322,K281,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,3/13/2017,Effective,Developing,Developing,NA,Developing+,Developing+,Developing+,NA,Developing+,Effective,Effective,NA,Effective,NA,Average,BC,21K281,5429d42a-4cf5-41ef-8804-a5b600cc8b14
123,3/14/2017 12:22,Complete,2028,Cohort 28,51317,X370,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/15/2017,Effective,Effective+,Effective,The teacher has significant knowledge of the subject area.  She has several learning activities during the lesson to ensure understanding.   She has a clear aim on the board.  She groups the students into small learning centers.,Effective,Effective,Effective,There is little loss of instructional time due to students' behavior.  The teacher's response to misbehavior is appropriate and respectful of her students.,Effective,Effective,Effective,Assessment is regularly used in the classroom.  The teacher uses an exit ticket and questioning to assess the students.  The learning tasks are designed to help the students understand the subject area.,Effective,The teacher made an accurate assessment of her lesson.  She realized that she  must use different methods of assessment thoughtout the lesson.,Average,BC,11X370,4fe73d08-ef77-404a-bc8e-a528017373c0
138,3/14/2017 18:40,Complete,219,Cohort 28,51335,X005,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/6/2017,Effective+,Effective,Developing+,"•	The teacher integrated key concepts and skills in the curriculum to support the standards. •	The lesson plans represented realistic goals and were keyed to standards. •	The lesson has a recognizable structure for the group work but should include modifications for the students.",Developing+,Developing+,Developing+,* There were side conversations which impacted the timing of the lesson while the students worked in their groups.,Developing,Developing,Developing+,"* Most of the lesson was teacher directed with very few questions. The teacher should plan 4-5 key questions that he will ask. Allow students to respond to each other by asking 'who agrees, who disagrees and who has something to add'.",Developing,NA,Average,BC,07X005,a8a74548-1e82-427e-833b-a5c500ff5711
148,3/15/2017 20:57,Complete,2021,Cohort 28,51334,M096,NA,NA,NA,NA,4,5,6,NA,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,3/7/2017,Developing+,Developing,Developing+,becoming familiar with instructional stategies,Developing+,Developing+,Developing+,dealing with significant behavioral issues appropriately,Developing,Developing+,Developing+,working on implementing on going assessment,Developing+,Eager to discuss strategies for meeting students needs,Average,BC,04M096,cd27e3d5-a45b-46f4-ad9a-a5ae01870db9
164,3/16/2017 15:50,Complete,2086,Cohort 28,51300,M057,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Science,3/16/2017,Effective,Developing+,Developing+,NA,Developing,Developing+,Developing,NA,Developing,Developing,Developing,NA,Developing+,NA,Average,BC,04M057,c7b8d171-ddde-4474-8b3c-a51f00eabe08
167,3/16/2017 17:52,Complete,2023,Cohort 28,51310,K422,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,2/28/2017,Developing+,Developing+,Developing+,"Comments on Domains 1a, 1c, and 1e: Before the bell rang, Ms. Diamond was prepared with the Do Now reflected on the Smart Board: What is a claim? Explain in 1-2 complete sentences. Since there was a gap between classes, this activity allowed students to revisit previous instruction. The reading article was also ready for distribution. This was a standards-based lesson: •	RI 6.1: Cite textual evidence to support analysis of what the text says explicitly, as well as inferences drawn from the text.  •	RI 6.8: Trace and evaluate the argument and specific claims in a text, distinguishing claims that are supported by reasons and evidence from claims that are not. •	W6.1: Write arguments to support claims with clear reasons and relevant evidence. •	W6.4: Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience. •	W6.9: Draw evidence from literary or informational texts to support analysis, reflection, and research",Effective,Developing+,Developing,"As many students languished outside after the bell rang, the teacher corralled them inside and stated the remaining time to complete the Do Now. She held them responsible to write the indicated response. Students were asked to pair and be prepared to share. During the sharing, it became evident that a concise definition was needed for, ""What is a claim?"" As suggested to Ms. Diamond, some examples of Text-To-Self and current Text-To-World situations could have supported understanding.  To the group of students who were chatty and disruptive, Ms. Diamond used signals and repeated verbal warnings. I provided the teacher with an example of a behavior modification chart to reduce interruptions.",Developing+,Developing+,Developing+,"A review of Exit Tickets revealed uneven results. Half of the students did not use evidence to support the meaning of a claim from either the informational article or the assigned Independent Reading. Although the majority of students displayed interest in the title of the article, this did not engender overall success. It is suggested that data is used to reconfigure grouping and scaffold students in areas of need.",Effective,"Ms. Diamond's insights about the lesson were accurate and she stated several suggestions for improvement: •	Use a different procedure to share out •	Either read less of the article or choose another article •	Entire grade is working on a concise meaning for  the word claim •	Lack of interesting grade level books",Average,BC,19K422,9fcbe58a-545d-4799-8b85-a5c200b6a64a
172,3/16/2017 18:26,Complete,2023,Cohort 28,51332,K562,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,2/28/2017,Effective,Developing+,Developing+,"Materials were prepared and distributed before students entered the class. Ms. Semple began the lesson by making a connection to previous instruction. Next, relevant terminology was discussed. Followed by an invitation for students to explore the text and consider information that is essential to understanding the Learning Objective.  This was a standards-based lesson:  RL.6.1: Cite textual evidence to support analysis of  what the text says explicitly as well as inferences drawn from the  text.  RL.6.2: Determine a theme or central idea of a text and how it is conveyed through particular details; provide a  summary of the text distinct from personal opinions or judgments",Effective,Effective,Effective,"Before beginning instruction, the class engaged in an activity referred to as Highs and Lows. All students and the teacher shared experiences that occurred during the Midwinter break. Although Ms. Semple listened to the low experiences, she focused on creating a positive start of the day and told the students how much she had missed them. All voices were equally important.   While students were exploring referenced pages of the text, Queens of the Board, Ms. Semple asked, ""What is a strategy?"" They were also directed to locate the word stamina within the text. The teacher monitored student engagement and when necessary, positive reinforcement was used to refocus the students.",Effective,Effective,Developing+,"Ms. Semple was prepared with several questions, which she extracted from her Lesson Plan. These questions caused students to think, ask questions, and comment about responses offered by the teacher and their peers. Noted are some of the questions and content for discussion: ""Why make inferences about the book? What might happen in the book? What is a strategy? What does that tell us? What do we think about that?"" Students also offered their opinions, followed by evidence from the text about one of the Essential Questions: What are the stigmas associated with women and playing the game of chess? The teacher invited students to share, if they had not voluntarily participated. The teacher included assessment questions throughout her instructions. However examination of the Exit Ticket revealed only one-half of the students correctly responded. Additionally, one of the Learning Objectives was omitted during instruction, which may have supported students in their understanding. Since this can be a pitfall in execution, I suggested to have the LOs visible.",Developing+,"In reflecting on her practice, Ms Semple shared her surprise of the assessment outcome. She stated, ""I didn't explain as best as I could have."" We discussed some adjustments that may be allowed in the delivery of her instruction.",Average,BC,32K562,7c1e98cc-bca2-4a16-9204-a52a01330232
180,3/16/2017 22:01,Complete,219,Cohort 28,51325,X390,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Special Education,3/2/2017,Effective,Effective,Developing,* The learning objective was measurable. * The lesson was keyed to the standards. * There was no differentiation for different groups of students. * The lesson was teacher dominated.,Developing+,Developing+,Developing+,"* Procedures should be established, taught and reinforced, as necessary.",Developing+,Developing+,Developing+,"* Students should be encouraged to respond to eachother by asking, 'who agrees, who disagrees and who would like to add on'?  *The tasks were partially aligned with the learning objectives. * Students were directed to complete an Exit Ticket. In addition to an exit ticket, the teacher should pose a question to the class, allowing them to discuss their responses in table groups, followed by a share.",Developing+,NA,Average,BC,10X390,d04b05a9-2bc4-4273-80ff-a1ea0071d448
190,3/17/2017 13:32,Complete,2030,Cohort 28,51307,270K,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Special Education,03/01/0017,Developing,Developing,Developing+,NA,Effective,Developing,Developing+,NA,Developing+,Effective,Effective,NA,Effective+,NA,Average,BC,13K270,482c3372-f134-40f0-a56c-a5b500c8a937
