uni,FC_ID,Cohort,C27id,oct_ob_location,oct_Grade,oct_Setting,oct_Subject,oct_obs_date,oct_dom1a,oct_dom1c,oct_dom1e,oct_dom1_comments,oct_dom2b,oct_dom2c,oct_dom2d,oct_dom2_comments,oct_dom3b,oct_dom3c,oct_dom3d,oct_dom3_comments,oct_dom4a,oct_dom4_comments,oct_rel_effect,dom1_avg,dom2_avg,dom3_avg,dom4_avg,FDIoct_overall,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1983,Cohort 27,50483,Q480,10,CTT/ICT,Special Education,27-Sep-16,Effective,Developing+,Developing+,,Effective,Developing+,Effective,,Developing+,Developing,Developing,,Effective,,Average,3.333333,3.666667,2.333333,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,953,Cohort 27,50484,K53@spring Creek,9,D75,Special Education – D75,28-Sep-16,Developing+,Developing+,Developing+,,Effective,Effective,Developing+,,Developing+,Effective,Developing+,,Effective,,Average,3,3.666667,3.333333,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1919,Cohort 27,50486,Q450,10,CTT/ICT,Special Education,20-Oct-16,Developing,Developing,Developing,This is a co teaching assignment,Developing+,Developing+,Developing+,Students are respectful.,Developing+,Developing+,Developing+,The various grade levels require an inordinate amount of individual attention.,Developing+,Ms Powell will continue to improve with time.,Average,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,205,Cohort 27,50487,x564,9,,Math,5-Oct-16,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing,Developing,Developing,,Developing+,,Average,3,3,2,3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,953,Cohort 27,50488,Q256@p43,3,D75,Special Education – D75,28-Sep-16,Developing,Developing,Developing,,Developing+,Developing,Developing,,Developing+,Developing+,Developing+,,Developing+,,Average,2,2.333333,3,3,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,2041,Cohort 27,50490,X288,9,Self-contained,Special Education,15-Sep-16,Developing+,Developing+,Developing+,"I observed Theresa in a low performing self-contained writing class. She had a do-now and guided lesson. What I liked was she gave students a creative ""hands on"" activity which is effective for that population. She had students share out what they created during the closing of the period.    Great job!",Developing+,Developing+,Developing+,"One student was upset about something which happened at home and did not want to engage in class. Theresa was able to sit with that student one on one while the other kids worked in their group. This was effective, did not disrupt the lesson, and got the child to participate.",Developing+,Developing+,Developing,,Developing+,"Theresa did really well with planning the lesson, student engagement, and managing behavioral issues.     However I encouraged her to display student work and rules and procedures for an effective class environment.",Above Average,3,3,2.666667,3,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1831,Cohort 27,50492,X101,8,CTT/ICT,Special Education,20-Oct-16,Effective,Developing+,Effective,,Effective,Effective+,Effective,,Developing+,Effective,Developing+,,Effective,,Above Average,3.666667,4.333333,3.333333,4,3.833333,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,1935,Cohort 27,50493,18K763,6,CTT/ICT,Special Education,27-Sep-16,Effective,Developing+,Developing+,"The teacher worked with a small group of struggling students. Instructional scaffolds such as guided charts and graphic organizers were employed. As a next step, the teacher is interested in better student participation during the whole group modeling. For example, having students give in-depth explanations on mathematical solutions. ",Effective,Effective+,Effective,As a next step the Fellow is interested in creating protocols for participation that would deepen the attention of students.,Developing+,Effective,Developing+,"Questioning is used throughout the lesson. However, the Fellow is now working to create questions that result in student discussion and formulation of opinions and understandings. As a next step, the Fellow is interested in assessment to drive the instructional process. ",Highly Effective,Ms. Antoine has set clear and realistic goals for her professional development this year. ,Average,3.333333,4.333333,3.333333,6,3.833333,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1822,Cohort 27,50494,Q600,10,Self-contained,ESL,11-Oct-16,Developing,Developing,Developing,"Teacher's plans and practice reflect a limited range of pedagogical approaches to the discipline or to the students. Outcomes reflect several types of learning. The progression of activities is uneven, with most time allocation uneven.",Developing+,Developing+,Developing+,Classroom interactions support learning. There is little loss of instrucional time due to effective classroom routines and procedures. Student behavior is appropriate.,Developing,Developing,Developing,The pacing of the lesson may not provide students the time needed to be intellectually engaged. Questions/prompts/assessments are rarely used to diagnose evidence of learning.,Developing,Teacher makes general suggestions about how the lesson could be improved.,Average,2,3,2,2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1929,Cohort 27,50495,6M366,2,,Bilingual,11-Oct-16,Developing,Developing,Developing,"Teacher’s plans and practice indicate some awareness of prerequisite relationships, although such knowledge may be inaccurate or incomplete.  Some reflect important learning in the discipline, and consist of a combination of outcomes and activities.   Some of the learning activities and materials are suitable to the instructional outcomes.",Effective,Developing+,Effective,"Classroom interactions support learning and hard work.   With regular guidance and prompting, students follow established routines.   Student behavior is generally appropriate.",Developing,Developing,Developing,"Teacher’s questions lead students through a single path of inquiry, with answers seemingly determined in advance.  The pacing of the lesson may not provide students the time needed to be intellectually engaged.   Assessment is used sporadically to support instruction, through some monitoring of progress of learning by teacher and/or students.",Developing,Teacher makes general suggestions about how a lesson could be improved.,Average,2,3.666667,2,2,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1802,Cohort 27,50496,M139,12,,Spanish,14-Oct-16,Developing,Developing,Developing,,Developing,Developing+,Developing,,Ineffective,Developing,Developing,,Developing,,Average,2,2.333333,1.666667,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1706,Cohort 27,50498,X325,7,CTT/ICT,Special Education,17-Oct-16,Developing,Developing,Developing+,,Developing,Developing,Developing,,Developing+,Developing,Developing+,,Effective,,Average,2.333333,2,2.666667,4,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,961,Cohort 27,50499,M403,12,CTT/ICT,Special Education,21-Sep-16,Developing,Developing,Developing,"In this lesson, I observed Ms. Khatari assist the classroom teacher in an Earth Science lesson.  In our conversation, she informed me that she meets regularly with the teacher to co-plan lessons but her involvement today was limited.",Developing,Developing,Developing,"While Ms. Khatari was not responsible for the overall lesson, she assisted the teacher by circulating around the room, assisting all students and those with IEPS as well, and ensured that classroom rules and protocols were being implemented.",Developing,Developing,Developing,"Ms. Khatari circulated around the room during the class to ensure that students were on task, using questioning strategies to assist them with the material.",Developing+,"While I was limited in observing Ms. Khatari take responsibility for the lesson, I was confident in our discussion that she has a sound knowledge of effective teaching strategies, differentiated instruction to support her IEP students and to manage an effective classroom. I look forward to observing those skills in the future.",Average,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2010,Cohort 27,50501,X439,11,N/A,Math,21-Sep-16,Developing+,Developing,Ineffective,"The objective of this lesson was ""How do we apply linear equations to real life situations?""  The problem designed for this lesson (Linda is thinking of a number such that the sum of the number and five times two more than the number is 26 more than four times the number) is not ""real life.""  ",Developing+,Effective,Effective,,Developing,Developing,Developing,,Developing,,Above Average,2,3.666667,2,2,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,219,Cohort 27,50503,K569,9,CTT/ICT,Special Education – D75,27-Sep-16,Developing,Effective,Developing+,* The lesson was standards-based.  * The learning objective was written in student friendly language and posted by her co-teacher.  * The teacher circulated as students worked.  ,Developing,Developing+,Developing+,"* Students With some prodding, student were on task.  * There was some loss of instructional time due to partially effective classroom routines.  * As the teacher circulated, she monitored student behavior.",Developing,Developing,Developing+,"* As the teacher circulated, she corrected student written work. It would be more effective if she elicited responses through the questioning of the students.  * The teacher circulated, assessing student understanding.  * A final summary question, related to the learning objectives, should be given at the end of the lesson in order to assess student understanding and inform instruction.",Developing,"During our debrief, we discussed that the teachers should use the 'Alternative Teaching Model' or the 'Team Teaching Model' as opposed to the teacher just reviewing the Do Now and circulating during the lesson. We also discussed the importance of the teacher asking questions of the students as she works with individuals and/or groups rather than just 'telling' the students the correct strategy and having the students work it out.",Average,3,2.666667,2.333333,2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,512,Cohort 27,50504,X525,9,,Science,22-Sep-16,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing+,,Average,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,622,Cohort 27,50505,M514,6,Self-contained,Special Education,14-Oct-16,Developing+,Developing+,Developing+,,Developing+,Developing+,Effective,,Developing,Developing+,Developing+,,Developing+,,Average,3,3.333333,2.666667,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2012,Cohort 27,50507,x101,8,N/A,Math,6-Oct-16,Effective,Effective,Developing+,,Developing+,Effective,Developing+,,Developing,Developing,Developing+,,Effective,,Average,3.666667,3.333333,2.333333,4,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1929,Cohort 27,50508,9X218,2,,Bilingual,5-Oct-16,Developing,Developing,Developing,Teacher is familiar with the important concepts in the discipline.  Outcomes represent moderately high expectations and rigor.   Some of the learning activities and materials are suitable to the instructional outcomes.,Developing,Developing,Developing,"With regular guidance and prompting, students follow established routines.  Standards of conduct appear to have been established.",Developing,Developing,Developing,Teacher attempts to engage all students in the discussion and to encourage them to respond to one another.  The learning tasks or prompts are partially aligned with the instructional outcomes.   Assessment is used intermittently to support instruction.,Developing,Teacher makes general suggestions about how a lesson could be improved.,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,1800,Cohort 27,50510,09X517,9,Self-contained,Special Education,27-Oct-16,Effective,Developing+,Effective,,Effective,Developing+,Developing+,,Developing+,Effective,Effective,,Effective,,Average,3.666667,3.333333,3.666667,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1850,Cohort 27,50511,27q480,9,N/A,Math,5-Oct-16,Effective,Developing+,Developing+,,Effective,Effective,Effective,,Developing+,Developing+,Developing+,,Effective,,Average,3.333333,4,3,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1706,Cohort 27,50512,X181,6,CTT/ICT,Special Education,11-Oct-16,Developing+,Developing+,Developing+,,Effective,Developing+,Developing+,,Developing+,Developing,Developing,,Developing+,,Average,3,3.333333,2.333333,3,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1789,Cohort 27,50513,X033,3,N/A,Bilingual,20-Oct-16,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1706,Cohort 27,50514,X270,9,Self-contained,Special Education,24-Oct-16,Effective,Developing+,Effective,,Developing+,Developing+,Developing+,,Developing+,Effective,Effective,,Effective,,Average,3.666667,3,3.666667,4,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2010,Cohort 27,50515,45,8,N/A,Math,29-Sep-16,Developing,Ineffective,Developing,The teacher assigned one task that was aligned to the expected outcomes but was not within the reach of most students.  Students were given a table and had to sketch a graph and find a formula.  They also had to show how the graph would change if there was an initial fee.  Most students did not even begin this task.  ,Ineffective,Ineffective,Developing,The teacher consistently raised his hand for quiet but the effect was inconsistent.  Students ignored his attempts on all but two occasions.,Ineffective,Developing,Ineffective,Only one student responded to the teacher's questions throughout this lesson.    Teacher did not acknowledge that students could not do the work.  I recommended that he stay in the body of the classroom and assess student understanding as he circulates.          ,Ineffective,"Although most students were unengaged throughout this lesson, the teacher told the class they ""did a good job."" He told me the class was better.  ",Bottom 10%,1.666667,1.333333,1.333333,1,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1848,Cohort 27,50520,26Q315,10,N/A,Math,27-Sep-16,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing,,Developing,Developing,Developing+,,Developing+,,Above Average,3,2.666667,2.333333,3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2002,Cohort 27,50521,10X080,6,N/A,ESL,23-Sep-16,Developing,Developing,Developing,,Effective,Effective,Effective,,Developing,Developing,Developing,,Developing,,Average,2,4,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,2041,Cohort 27,50523,X432,9,CTT/ICT,Special Education,19-Sep-16,Developing,Developing,Developing,"I observed Alisha in two ICT settings where she had no lead within the classroom. The other teacher in the room led the lesson, instructions, and activity for the entire class period, thus making it challenging for Alisha to showcase or implement any of her teaching skills.     I encouraged her to meet with the teachers, plan collectively, and take more of a reciprocal role in the classroom.",Developing,Developing,Developing+,I observed Alisha in two classrooms that were not hers so she didn't have any input on the classroom environment. I encouraged her to speak with the teacher and ask for a space within the room that she could showcase student achievement/or expectations.     She managed student disruptions and behavior consistently.,Developing,Developing,Developing,,Developing,"I encouraged Alicia to meet with the teachers she co-teaches with, plan collectively, and take more of a reciprocal role in the classroom.",Average,2,2.333333,2,2,2.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,2066,Cohort 27,50525,18K235,9,N/A,Science,11-Oct-16,Developing,Developing,Developing,Fellow has to allow students to take command over their learning.,Developing,Developing,Developing+,"Teacher has good classroom management, however more can be done to create a warm strict environment.",Developing,Developing+,Developing,"Fellow has good questioning techniques that drive higher order thinking, however these techniques have to resonate with every learner, and not just the top tiered learners.",Developing+,Fellow is very reflective.,Average,2,2.333333,2.333333,3,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1708,Cohort 27,50527,Q072,7,Self-contained,Special Education,7-Oct-16,Developing+,Developing,Developing,,Developing,Developing+,Developing,This teacher has significant challenges to overcome.  Resources were slow in being delivered.,Developing+,Developing+,Developing+,,Developing+,,Below Average,2.333333,2.333333,3,3,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1830,Cohort 27,50528,M463,9,,Math,30-Sep-48,Effective,Developing,Developing,,Developing+,Developing,Effective,,Developing,Developing,Developing,,Effective,,Average,2.666667,3,2,4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,949,Cohort 27,50530,97X754,9,D75,Special Education – D75,6-Oct-16,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1937,Cohort 27,50532,X548,10,CTT/ICT,Special Education,17-Oct-16,Developing+,Developing+,Developing+,,Developing+,Developing,Developing,,Developing,Developing+,Developing,,Effective,,Average,3,2.333333,2.333333,4,2.333333,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1807,Cohort 27,50533,K670,11,N/A,Math,21-Sep-16,Effective+,Effective+,Effective+,"Ms. Zheng displayed a solid understanding of the Algebra II curriculum by including the Common Core Learning Standards in her lesson plan. She also included a review of conceptual understandings and supporting terms to help students recall prior learning.    The lesson objective stated that students would be able to classify functions by interpreting key features of graphs and providing evidence to support their responses. This objective represents rigorous and important learning within the algebra curriculum.    The lesson activity, which was largely an extended Do Now, had students grouping examples of graphs into function families and answering questions centering on classification, features and naming function families. The activity represented a significant cognitive challenge supported by review of prior learning.  ",Effective+,Effective,Effective+,"Ms. Zheng is developing a positive rapport with her students, built on a culture of hard work and responsibility. It is evident, based upon observed interactions, that a respect level exists between students and teacher.    Routines and procedures were partially effective. Some students required a large degree of prompting to follow through with expectations.    Student behavior was generally appropriate. Ms. Zheng’s response to off-task behaviors was quick, subtle and respectful.",Effective,Effective,Developing+,"Ms. Zheng’s prompting and questioning was largely based on student observations of various types of graphed information and recall of basic functions of graphing families. When questions to the whole class were posed, very few students offered responses. A number of single line of inquiry questions were asked and only once did redirection occur. Ms. Zheng reminded students consistently to raise their hands if they wanted to respond to questions. Class discussions were teacher centered with very little student-to-student conversations.    Students were engaged throughout the lesson, however, the pacing did not foster student participation, as only a handful of students offered responses or comments. Very few students raised their hands to participate.    An exit ticket was offered, however, active assessment of student understanding was sparse. Evidence of student learning was mostly ascertained through single line of inquiry questions. The entire class pulse of understanding was not taken.    ",Highly Effective,"Ms. Zheng actively participated in the post observation conference. She was upset that she forgot her laptop computer. This grossly affected the lesson which was built on highly visual information (graphs.)     Ms. Zheng was praised for the positive rapport she was building with her students, as well as her pleasant and patient demeanor.    Her knowledge of the Algebra curriculum was significant, however, transferring that knowledge to her students was a bumpy road.    Ms. Zheng and I discussed the entire lesson, which actually was largely based on a 30 minute Do Now. Ms. Zheng assumed that students’ prior knowledge was sufficient enough to understand the work they were presented for interpreting functions of graphs and various applications of mathematical terms. Students were unclear and lacked a conceptual understanding of the functional vocabulary and terms. The lesson was incoherent and disjointed at times, with Ms. Zheng and a few students largely supplying information for the class.    Ms. Zheng’s board work was sloppy, and since the visual aspect of the lesson was so important, impromptu graphs drawn on the whiteboard were insufficient.     Assessment of student understanding and learning was haphazard and incomplete. Ms. Zheng reported that her students did well on the exit ticket.    Ms. Zheng and I spent some time discussing a math developmental lesson. We talked about questioning and the need for consistent redirection and a web of questioning.    Ms. Zheng is very bright and has some great ideas. She numbered each task with coordinates and used the students at those desks to stand when their coordinates were called. Depending upon the coordinates, different graphs and types were formed, much as parabolas, straight lines, zig zag, etc.     Ms. Zheng has been teaching for two weeks. With experience and confidence, I believe she will develop the necessary skills to be an effective teacher.  ",Average,5,4.666667,3.666667,6,4.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,1943,Cohort 27,50534,ps 188,1,N/A,Bilingual,6-Oct-16,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,,Average,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,1909,Cohort 27,50535,x521,9,CTT/ICT,ESL,23-Sep-16,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,,Below Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1789,Cohort 27,50537,X525,8,Self-contained,Special Education,20-Oct-16,Developing,Developing,Developing,,Ineffective,Ineffective,Ineffective,,Developing,Ineffective,Developing,,Developing,,Average,2,1,1.666667,2,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2006,Cohort 27,50541,X391,8,N/A,Science,23-Sep-16,Developing,Developing,Developing,,Developing,Ineffective,Ineffective,,Developing,Developing,Ineffective,,Developing,,Below Average,2,1.333333,1.666667,2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,2041,Cohort 27,50542,X275,9,CTT/ICT,Special Education,15-Sep-16,Developing+,Developing,Developing+,"I observed Alethea in an ICT math setting. Her and the co-teacher did a great job with balancing the lesson or instruction within the classroom, very well planned. They took turns taking the lead with every aspect of the lesson and were very knowledgable in the subject matter. ",Developing,Developing+,Effective,"Being that I observed Alethea in the very beginning of the school year, the walls in the classroom were bare and did not showcase student work. However, students demonstrated knowledge of classroom procedures such as raising their hands to participate, breaking up into group work successfully, and sharing out during the closing of the lesson.    I encouraged Alethea to implement or model what the class procedures/rules are on the wall as well as incorporating student work and unit plans within the classroom.",Developing+,Developing+,Developing+,"Alethea used many questioning prompts to encourage student engagement. Many of the students participated throughout the class period and as an informal ""checking for understanding"" she had students come to the front of the classroom to demonstrate step by step how they arrived at their answer. The student had to physically solve the problem step by step as well as verbally explain what they did. The other students were then asked if they agreed or disagreed with their peer, if they disagreed they had to help re-solve the math problem.     Great job!",Developing+,"I encouraged Alethea to get the students who NEVER raise their hand or participate to do so more. Many students participated but it was the same students over and over, so she needs to work on checking for understanding on the ""quiet students"" as well as the classroom environment for the next visit. ",Above Average,2.666667,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1722,Cohort 27,50543,03m299,9,CTT/ICT,Math,5-Oct-16,Developing+,Developing+,Developing+,The teacher appears to have taken on the primary responsibility of planning and instruction.  She shows good knowledge of grade level content that is challenging.  The Special Education  teacher in the room provided little input during the lesson.  We discussed the importance of   co planning to set clear outcomes and to determine modifications needed for Special Education  students  ,Developing+,Developing+,Developing+,The students were engaged and seemed interested in the lesson.  The teacher displayed a positive  demeanor toward students that promoted learning,Developing+,Developing+,Developing+,Questioning did not promote higher order thinking or critical analysis.  Students were engaged in   learning predominantly operations.,Developing+,The teacher appears to be very interested in her own professional development and in enhancing  her teaching techniques.,Average,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,2039,Cohort 27,50544,X244,7,Self-contained,Special Education,21-Sep-16,Developing+,Ineffective,Developing,There was very little differentiation and teaching was not based on student needs.  The teaching was based on the curriculum given to the general education population.,Effective,Developing,Effective,Time management and utilizing instructional time are areas of weakness.  The teacher also shows a lack of understanding of how to break up instructional time to allow for student breaks.,Developing,Developing,Developing,"The teacher is not actively assessing throughout the lesson and as a result, there is little differentiation and all students are completing the same task regardless of ability levels.",Developing,"The teacher is able to identify strengths and weaknesses, but has difficulty coming with with solutions to problems.",Average,2,3.333333,2,2,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,1999,Cohort 27,50545,x468,8,,English,28-Sep-16,Developing+,Developing,Developing+,"This double period lesson in an honor classroom was focused on engaging students in activities that assisted them in identifying plot structure in preparation for reading short stories. This was accomplished, Students worked in small groups with several tasks though outcomes did not reflect high expectations or rigor. Some activities including reading a text in a small group and identifying plot elements reflected important learning in the discipline though outcomes needed a higher level of cognitive challenge.",Effective,Effective,Effective,"The classroom of 34 students reflects an effective classroom culture  where the teacher and students highly respect one another, seamlessly move into groups and follow instructions. This was reflected in the behavior and participation during all classroom activities.",Developing+,Developing+,Developing,"By organizing students in small groups to identify plot structure in two texts, students had the opportunity to participate in the task and share work with classmates. In two of the groups, only 2 of the group participants were engaged in table talk and the other group members were passive. This is an area the teacher will work on. In addition, most questions - what is the climax, rising action, etc., did not promote critical thinking. Given this, the lesson was well-structured and the majority of students participated in the classroom activities.",Effective,"Mr. Miller was very thoughtful, reflective and open-minded as we reflected on the lesson. He suggested setting a smart goal of including more critical questions and activities in future lessons.",Above Average,2.666667,4,2.666667,4,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1833,Cohort 27,50546,M037,K,,ESL,17-Oct-16,Effective,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing,Developing,Developing,,Effective,,Average,3.333333,3,2,4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1848,Cohort 27,50547,29Q456,6,Self-contained,Special Education,29-Sep-16,Developing+,Developing+,Developing+,,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing+,,Average,3,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,953,Cohort 27,50549,K53@562,9,Self-contained,Special Education – D75,21-Sep-16,Effective,Developing+,Effective,,Developing+,Effective,Effective,,Developing+,Developing+,Developing+,,Effective,,Average,3.666667,3.666667,3,4,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1843,Cohort 27,50550,X250,9,CTT/ICT,Math,19-Sep-16,Developing+,Developing,Developing,,Developing+,Developing+,Developing+,,Developing,Developing,Developing,,Developing,,Above Average,2.333333,3,2,2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1949,Cohort 27,50551,30Q286,8,,English,26-Sep-16,Developing+,Developing+,Effective,Devin is passionate about the content he teaches and creative about the activities he creates for the students. ,Developing+,Developing+,Developing+,"Off task behavior noted. Too much time was devoted to sharing student work. Five drafts were read where one or two would have sufficed. While specific students presented, many of the students were off task.",Developing+,Developing+,Developing+,A specific purpose should have been established for the peer editing component of the lesson. Not enough thought was given to how to best structure students' work time.,Developing+,Devin was receptive to recommendations made. He agreed that double periods such as this one need to be structured more closely and productivity of students needs to be focused.,Below Average,3.333333,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,2069,Cohort 27,50554,X168,K,D75,Special Education – D75,30-Sep-16,Ineffective,Developing,Ineffective,,Developing,Developing,Developing,,Ineffective,Ineffective,Developing,,Developing,,Average,1.333333,2,1.333333,2,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,1909,Cohort 27,50555,x267,6,CTT/ICT,ESL,28-Sep-16,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing+,Effective,Effective,,Effective,,Average,3,3,3.666667,4,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1110,Cohort 27,50556,q355,8,N/A,Math,29-Sep-16,Developing,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing,Developing+,Developing,,Developing,,Average,2.666667,3,2.333333,2,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,958,Cohort 27,50557,Q301,10,,Science,28-Sep-16,Effective,Developing+,Developing+,Jeremy did not have a lesson plan.,Effective,Effective,Effective,"All students were focused and prepared.  Throughout the lesson, class participation was high.",Effective,Effective,Developing+,,Developing+,,Average,3.333333,4,3.666667,3,3.833333,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1789,Cohort 27,50558,X186,1,D75,Special Education – D75,21-Oct-16,Developing+,Developing+,Developing,,,Developing,Developing,,,Developing,,,Developing,,Average,2.666667,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,2066,Cohort 27,50559,28Q157,7,N/A,Science,11-Oct-16,Developing+,Developing+,Developing+,"Fellow sets high expectations for students, takes the time to illicit feedback from students as well.",Developing+,Developing+,Developing,Fellow could be more consistent with hold students accountable for behavioral expectations.,Developing+,Developing+,Developing,Fellow uses data to drive instruction and uses multiple ways to assess student mastery.,Developing+,"Fellow is extremely reflective, and wants to improve.",Top 10%,3,2.666667,2.666667,3,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1833,Cohort 27,50560,M209,7,,Special Education,7-Oct-16,Effective,Developing+,Developing+,,Effective,Developing+,Effective,,Developing+,Developing,Developing,,Effective,,Average,3.333333,3.666667,2.333333,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,219,Cohort 27,50561,K502,9,,Science,7-Oct-16,Developing+,Developing+,Developing,•,The Aim and Do Now were posted prior to the arrival of the students.  •,The lesson was standards-based. Standards Addressed: Standard 4 Key idea 2 PI 2.q  /     Standard 6 Key idea 2     CCSS.ELA-LITERACY.WHST.11-12.4  /  CCSS.ELA-LITERACY.WHST.11-12.9  •,The teacher was confused how to write a proper Learning Objective. We discussed the technique and I gave her an assignment which she completed and we discussed it via telephone.  *       The SMART Board was used as an instructional tool.  *       The activity was partially aligned with the Aim.    ,Effective,Developing,Developing,"* Ten out of eleven students were working. One student had his head down and appeared to be sleeping. The teacher went over to the student and encouraged him to work on the assignment, which he did.  * The teacher seemed to lose the class the last 15 minutes; students talking among themselves while teacher was not in their physical proximity.",Developing,Developing+,Developing+,"* When students are engaged in learning, they are not merely “busy,” nor are they only “on task.” Rather, they are  intellectually active in learning important and challenging content.  * Teacher circulated as students worked, clarifying and assisting in addition to having students show their work on the board.  * A summary question should be asked, related to the Aim or Learning Objective, in order to assess student understanding and inform instruction.",Developing,"* Teacher had a generally accurate impression of the effectiveness of the lesson but had difficulty making general suggestions, without prodding, how the lesson could be improved.",Average,2.666667,2.666667,2.666667,2,2.666667,,,,,,,,,,,,,,,,,,,,,,
